ID,Category
153079,FWD
239085,FWD
158023,FWD
215914,DEF
200145,DEF
155862,DEF
231747,FWD
192985,FWD
189511,DEF
206113,FWD
209658,DEF
213345,FWD
231281,DEF
162835,GK
233049,FWD
212218,DEF
183277,FWD
192387,FWD
185122,GK
208830,FWD
201535,DEF
208670,FWD
223848,FWD
222492,FWD
168542,FWD
143076,FWD
138956,DEF
152729,DEF
232363,DEF
180206,DEF
192563,GK
198176,DEF
200458,DEF
204923,FWD
209989,DEF
199451,FWD
212188,FWD
212462,DEF
215698,GK
216393,FWD
220440,DEF
220651,DEF
224334,DEF
229880,DEF
146536,DEF
190460,FWD
197445,DEF
199482,GK
203486,FWD
192774,DEF
205069,DEF
204639,DEF
199564,DEF
208418,FWD
208574,DEF
207862,DEF
208093,FWD
189242,FWD
207863,DEF
229668,DEF
232656,DEF
229906,FWD
230375,DEF
168435,GK
187961,FWD
178562,DEF
224293,FWD
205659,GK
205678,FWD
209960,GK
210413,DEF
213565,FWD
217940,DEF
221087,GK
176676,DEF
178750,GK
179645,DEF
193105,GK
193283,DEF
193301,FWD
197965,FWD
197655,DEF
227796,FWD
199042,DEF
227928,DEF
230347,DEF
230384,FWD
234396,DEF
241486,DEF
173731,FWD
209297,DEF
208596,FWD
208461,DEF
210406,DEF
210935,FWD
216189,DEF
216409,FWD
202695,DEF
203551,DEF
170890,DEF
171877,FWD
172871,DEF
178086,GK
183574,FWD
187754,FWD
195365,GK
198950,FWD
197853,DEF
199110,FWD
199823,FWD
200949,FWD
200888,DEF
202651,FWD
201119,DEF
234742,FWD
201519,DEF
237238,DEF
239207,FWD
240130,DEF
241095,FWD
245304,FWD
120533,DEF
251700,FWD
153244,FWD
156519,DEF
163489,GK
220182,DEF
223959,DEF
226491,DEF
230201,DEF
230204,GK
230313,DEF
233096,DEF
232432,FWD
212187,DEF
212814,FWD
204638,DEF
205175,FWD
205693,FWD
205569,FWD
206467,FWD
207599,DEF
207877,FWD
210665,DEF
219683,FWD
202857,FWD
204259,DEF
203890,DEF
197225,FWD
198031,FWD
201922,DEF
199254,FWD
176635,FWD
171579,FWD
169588,DEF
245295,DEF
245306,GK
45186,FWD
148119,GK
168609,DEF
230498,FWD
232293,FWD
233927,FWD
234035,DEF
235805,FWD
240243,FWD
241184,DEF
240679,DEF
240950,FWD
220018,FWD
222400,DEF
220093,DEF
222028,DEF
222501,DEF
223053,FWD
223578,FWD
224196,DEF
228251,DEF
227055,FWD
208135,DEF
211575,FWD
212096,FWD
211748,FWD
219792,DEF
193041,GK
202126,FWD
164240,DEF
163587,GK
181291,DEF
210243,DEF
210514,DEF
186942,FWD
188350,FWD
188377,DEF
192629,FWD
201399,FWD
191043,DEF
212151,GK
225100,DEF
199845,DEF
201153,FWD
226271,FWD
229391,DEF
237692,FWD
236792,DEF
202811,GK
203841,GK
205632,FWD
205600,DEF
205988,DEF
210035,DEF
182494,GK
186345,DEF
229558,DEF
230256,DEF
235374,FWD
227290,GK
216201,FWD
179846,DEF
236583,GK
236987,DEF
238794,FWD
244260,FWD
245294,GK
245300,DEF
220793,DEF
222331,DEF
222716,FWD
227127,GK
204399,FWD
205686,GK
205849,GK
196432,DEF
243812,FWD
244470,DEF
245297,DEF
247851,DEF
255475,FWD
170368,FWD
230251,DEF
230767,FWD
231447,FWD
233738,DEF
235410,FWD
236506,DEF
236401,DEF
234612,FWD
220253,FWD
220523,DEF
208920,DEF
211022,FWD
212616,FWD
194022,DEF
194209,FWD
199575,GK
202477,FWD
201455,DEF
178509,FWD
179944,DEF
180216,DEF
181786,DEF
184431,FWD
185221,DEF
188081,FWD
245298,DEF
246669,DEF
